"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"78","Columbus Blue Jackets","nhl","#041e42","#a4a9ad","#c8102e",NA,"Metropolitan","Columbus","Blue Jackets","Columbus Blue Jackets","http://content.sportslogos.net/logos/1/9/thumbs/jhepegs329pc7ugyypebl28wg.gif"
"79","Columbus Crew","mls","#000000","#ffdb00","#8a8d8f",NA,NA,"Columbus","Crew","Columbus Crew","http://content.sportslogos.net/logos/9/324/thumbs/32410022015.gif"
"80","Connecticut Sun","wnba","#A6192E","#041E42","#643335","#DC4405","Eastern","Connecticut","Sun","Connecticut Sun","http://content.sportslogos.net/logos/16/319/thumbs/fhhj9830gwu0eygex0ejhqrhn.gif"
"81","Cornell Big Red","ncaa","#B31B1B","#5E3920","#89572E","#000000","Ivy","Cornell","Big Red","Cornell Big Red","http://content.sportslogos.net/logos/30/651/thumbs/65139712002.gif"
"82","Creighton Bluejays","ncaa","#005CA9","#00235D","#6CADDE","#828282","Big East","Creighton","Bluejays","Creighton Bluejays","http://content.sportslogos.net/logos/30/652/thumbs/65227962013.gif"
"83","Crystal Palace","epl","#1b458f","#c4122e","#a7a5a6",NA,NA,"Crystal","Palace","Crystal Palace",NA
"84","CSU Bakersfield","ncaa","#005DAA","#FFD200",NA,NA,"WAC","CSU Bakersfield",NA,"CSU Bakersfield Roadrunners","http://content.sportslogos.net/logos/30/5046/thumbs/504679332006.gif"
"85","CSUN","ncaa","#CE1126","#D1CEC6","#000000",NA,"Big West","CSUN",NA,"Cal State Northridge Matadors","http://content.sportslogos.net/logos/30/628/thumbs/62897842014.gif"
"86","Dallas Cowboys","nfl","#002244","#b0b7bc","#acc0c6","#a5acaf","NFC East","Dallas","Cowboys","Dallas Cowboys","http://content.sportslogos.net/logos/7/165/thumbs/406.gif"
"87","Dallas Mavericks","nba","#007dc5","#c4ced3","#061922","#20385b","Southwest","Dallas","Mavericks","Dallas Mavericks","http://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif"
"88","Dallas Stars","nhl","#010101","#006341","#8a8d8f",NA,"Central","Dallas","Stars","Dallas Stars","http://content.sportslogos.net/logos/1/10/thumbs/1079172014.gif"
"89","Dallas Wings","wnba","#0C2340","#C4D600","#00A9E0",NA,"Western","Dallas","Wings","Dallas Wings","http://content.sportslogos.net/logos/16/5911/thumbs/591116072016.gif"
"90","Dartmouth","ncaa","#046A38","#000000",NA,NA,"Ivy","Dartmouth",NA,"Dartmouth Big Green","http://content.sportslogos.net/logos/31/653/thumbs/0s2fdu2ejo17tjqu4ii4zd2pl.gif"
"91","Davidson","ncaa","#AC1A2F","#000000",NA,NA,"A-10","Davidson",NA,"Davidson Wildcats","http://content.sportslogos.net/logos/31/654/thumbs/65492672010.gif"
